Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0658808264971454,0.000338733326039203,0.000829641539810137,0,0,0,0.0278705630237158,1.06584219736644E-05,2.23573160025806E-06,5.95662384201581E-07,1.37305064540715E-05,1.15568145144039E-07,2.25883610744516E-05,0,0,0,0,0,0,package://rohand_lites_urdf_ros2/meshes_l/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://rohand_lites_urdf_ros2/meshes_l/base_link.STL,,_X2_516d7535673a_X0_-_X2_81558fde63a54ef6_X0_-_X2_5c0f_X0_-_X2_5de6_X0_-j-1;_X2_516d7535673a_X0_-_X2_638c58f3_X0_-_X2_5c0f_X0_-_X2_5de6_X0_-j-1;_X2_516d7535673a_X0_-_X2_624b80cc58f3_X0_-_X2_5c0f_X0_-_X2_5de6_X0_-j-1;_X2_516d7535673a_X0_-_X2_4e0b58f3_X0_-_X2_5c0f_X0_-_X2_5de6_X0_-j-1;_X2_592762c763077ec44ef6_X0_-_X2_5de6_X0_-j-1/_X2_592762c763077535673a7bb1_X0_-j-1/_X2_516d7535673a_X0_-_X2_65cb8f6c7535673a7bb14e0b58f3_X0_-_X2_5c0f_X0_-_X2_5de6_X0_-j-1;_X2_516d7535673a_X0_-_X2_624b8155_X0_-_X2_5c0f_X0_-_X2_5de6_X0_-j-1;_X2_4e2d63077ec44ef6_X0_-j-1/_X2_57fa5ea7_X0_--j-1;_X2_65e0540d63077ec44ef6_X0_-j-1/_X2_57fa5ea7_X0_--j-1;_X2_5c0f63077ec44ef6_X0_-j-1/_X2_57fa5ea7_X0_--j-1,base_joint,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
if_slider_link,-0.0123921337577212,0.00130470981178011,-5.78663245641292E-05,0,0,0,0.000366987168246213,2.51584091513666E-09,2.11964059661734E-09,-8.81015040372256E-11,2.24344665856881E-08,4.57420627997937E-11,2.30717593391641E-08,0,0,0,0,0,0,package://rohand_lites_urdf_ros2/meshes_l/if_slider_link.STL,1,1,1,1,0,0,0,0,0,0,package://rohand_lites_urdf_ros2/meshes_l/if_slider_link.STL,,_X2_51cf901f7bb17ec44ef6_X0_-j-1/_X2_4e1d67467ec44ef6_X0_-j-1/_X2_4e1d7f38_X0_-2-j-1,if_slider_joint,if_slider_axis,if_slider_link,prismatic,-0.072993,0.025746,-0.005722,0,0,0,base_link,0.9945,-0.10466,0.0046058,0,0,0,0.019,,,,,,,,
if_slider_abpart_link,-0.00920281005416391,0.000995665827143572,0.000201300646604122,0,0,0,0.000302366045011765,1.06902120049612E-09,2.7559619333447E-10,-1.8166567389629E-10,3.78665808543061E-09,4.84150431460263E-11,4.14449798499938E-09,0,0,0,0,0,0,package://rohand_lites_urdf_ros2/meshes_l/if_slider_abpart_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://rohand_lites_urdf_ros2/meshes_l/if_slider_abpart_link.STL,,_X2_62c967467ec44ef6_X0_-j-1,if_slider_abpart_joint,if_slider_abpart_axis,if_slider_abpart_link,continuous,-0.0265536336160361,0.00278918570178431,-0.000122523139613851,0,0,0,if_slider_link,-0.105287313852347,-0.990657832598563,0.086669719353844,,,,,,,,,,,,
if_proximal_link,-0.0159452373092664,0.0014659073897588,-0.00260520393050003,0,0,0,0.00205188510009486,7.68946120046756E-08,1.29760698143227E-08,1.10990330741705E-08,1.88410741307235E-07,-1.13703681420765E-10,2.02063966016198E-07,0,0,0,0,0,0,package://rohand_lites_urdf_ros2/meshes_l/if_proximal_link.STL,1,1,1,1,0,0,0,0,0,0,package://rohand_lites_urdf_ros2/meshes_l/if_proximal_link.STL,,_X2_65e0540d63077ec44ef6_X0__2-j-1/_X2_98df63074e2d6bb5_X0_.stp-j-1,if_proximal_joint,if_proximal_axis,if_proximal_link,continuous,-0.10701,0.030104,0.0030149,0,0,0,base_link,-0.10529,-0.99066,0.08667,,,,,,,,,,,,
if_distal_link,-0.0195360859287081,0.00200903142007153,-0.00436241568030448,0,0,0,0.0037519230425627,7.16204495259565E-08,3.12601144638837E-08,-5.75229768944284E-08,4.14420934360866E-07,5.06502321378518E-09,4.06039747119444E-07,0,0,0,0,0,0,package://rohand_lites_urdf_ros2/meshes_l/if_distal_link.STL,1,1,1,1,0,0,0,0,0,0,package://rohand_lites_urdf_ros2/meshes_l/if_distal_link.STL,,_X2_65e0540d63077ec44ef6_X0__2-j-1/_X2_88c5914d4f53_X0_1^_X2_65e0540d63077ec44ef6_X0__2-j-1/_X2_4e2d6307_X0_-1022-j-1;_X2_65e0540d63077ec44ef6_X0__2-j-1/_X2_56db630777ed8f749500_X0_-j-1;_X2_65e0540d63077ec44ef6_X0__2-j-1/_X2_56db63078f749500_X0_-j-1,if_distal_joint,if_distal_axis,if_distal_link,continuous,-0.032501413592246,0.00312131258134389,-0.000360511482104104,0,0,0,if_proximal_link,-0.105287313852381,-0.990657832598558,0.0866697193538612,,,,,,,,,,,,
if_connecting_link,-0.013998435649417,0.000921876039566862,-0.00646816899252928,0,0,0,0.000166924761349137,2.86100545475481E-09,1.22914696166541E-09,-6.46280472852303E-09,1.9654571070246E-08,4.46138737743095E-10,1.69945761233487E-08,0,0,0,0,0,0,package://rohand_lites_urdf_ros2/meshes_l/if_connecting_link.STL,1,1,1,1,0,0,0,0,0,0,package://rohand_lites_urdf_ros2/meshes_l/if_connecting_link.STL,,_X2_65e0540d63077ec44ef6_X0__2-j-1/_X2_98df63078fde6746_X0_.step-j-1;_X2_65e0540d63077ec44ef6_X0__2-j-1/_X2_98df63078fde6746_X0_.step-j-2,if_connecting_joint,if_connecting_axis,if_connecting_link,continuous,-0.113855295097668,0.031177323718743,0.0069690029233957,0,0,0,base_link,-0.105287313852345,-0.990657832598564,0.086669719353841,,,,,,,,,,,,
mf_slider_link,-0.0124525788633679,0.000447249285933142,-5.77059275544221E-05,0,0,0,0.000366988392309946,2.31916751649063E-09,7.31532839383638E-10,-1.00188983192664E-10,2.26281188533281E-08,3.48501949055754E-12,2.30748953113132E-08,0,0,0,0,0,0,package://rohand_lites_urdf_ros2/meshes_l/mf_slider_link.STL,1,1,1,1,0,0,0,0,0,0,package://rohand_lites_urdf_ros2/meshes_l/mf_slider_link.STL,,_X2_51cf901f7bb17ec44ef6_X0__2-j-1/_X2_4e1d67467ec44ef6_X0__2-j-1/_X2_4e1d7f38_X0_-2-j-1,mf_slider_joint,mf_slider_axis,mf_slider_link,prismatic,-0.075833,0.010832,-0.0018554,0,0,0,base_link,0.99934,-0.035945,0.0046649,0,0,0,0.019,,,,,,,,
mf_slider_abpart_link,-0.00925202917083925,0.000330358636516365,-0.000120019270102592,0,0,0,0.000302366045302568,1.06167863552914E-09,9.82395486296986E-11,-2.93782085075172E-10,3.80820356700058E-09,1.04305072705198E-11,4.1302950845878E-09,0,0,0,0,0,0,package://rohand_lites_urdf_ros2/meshes_l/mf_slider_abpart_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://rohand_lites_urdf_ros2/meshes_l/mf_slider_abpart_link.STL,,_X2_62c967467ec44ef6_X0__2-j-1,mf_slider_abpart_joint,mf_slider_abpart_axis,mf_slider_abpart_link,continuous,-0.0266854788763156,0.000875659284168925,-0.000124561682256132,0,0,0,mf_slider_link,-0.0356840742305532,-0.999363106989114,-0.000165031427574054,,,,,,,,,,,,
mf_proximal_link,-0.0184871231734656,0.000663994643697444,-0.00413872990479587,0,0,0,0.00248792244521462,9.08052948331124E-08,6.95971303714442E-09,-1.44282369370051E-09,2.84098254494441E-07,7.61655816280476E-11,2.9305088143575E-07,0,0,0,0,0,0,package://rohand_lites_urdf_ros2/meshes_l/mf_proximal_link.STL,1,1,1,1,0,0,0,0,0,0,package://rohand_lites_urdf_ros2/meshes_l/mf_proximal_link.STL,,_X2_4e2d63077ec44ef6_X0_-j-1/_X2_4e2d63074e2d6bb5_X0_.stp-j-1,mf_proximal_joint,mf_proximal_axis,mf_proximal_link,continuous,-0.1104,0.011987,0.0069142,0,0,0,base_link,-0.035684,-0.99936,-0.00016503,,,,,,,,,,,,
mf_distal_link,-0.0193184300007979,0.00116854868215256,-0.00549271986057397,0,0,0,0.00375188378032024,7.74236750594041E-08,1.45605199018464E-08,-7.7196297768517E-08,4.16636908254626E-07,3.31158967576085E-09,3.9802279586144E-07,0,0,0,0,0,0,package://rohand_lites_urdf_ros2/meshes_l/mf_distal_link.STL,1,1,1,1,0,0,0,0,0,0,package://rohand_lites_urdf_ros2/meshes_l/mf_distal_link.STL,,_X2_4e2d63077ec44ef6_X0_-j-1/_X2_56db630777ed8f749500_X0_-j-1;_X2_4e2d63077ec44ef6_X0_-j-1/_X2_88c5914d4f53_X0_2^_X2_4e2d63077ec44ef6_X0_-j-1/_X2_4e2d6307_X0_-1022-j-1;_X2_4e2d63077ec44ef6_X0_-j-1/_X2_56db63078f749500_X0_-j-1,mf_distal_joint,mf_distal_axis,mf_distal_link,continuous,-0.0374220342333107,0.00103220768332958,-0.00234460032529154,0,0,0,mf_proximal_link,-0.0443196166361777,-0.999016857696227,0.00104384863831518,,,,,,,,,,,,
